Name,Address 1,Address 2,Address 3,City,Country,PostCode
Leeds Teaching Hospitals NHS Trust,,,,Leeds,,LS1 3EX
Leicester Nuffield Hospital,Scraptoft Lane,,,Leicester,,LE5 IHY
Liberty City Clinic,3 Ravey Street,,,London,,EC2A 4QP
Lincoln Nuffield Hospital,Nettleham Road,,,Lincoln,,LN2 1QU
Liverpool Women's Hospital,Crown St  ,,,Liverpool,,L8 7SS
London Bridge Hospital,27 Tooley Street  ,,,London,,SE1 2PR
London Day Surgery Centre,Gloucester House,150 Woodside Lane,,London,,N12 8TP
London Fertility Centre,Cozens House,112A Harley Street,,London,,W1G 7JH
London Independent MRI Centre,The London Independent Hospital,No. 1 Beaumont Square,,London,,E1 4NL
London MRI Centre,110 Harley Street,,,London,,W1G 7JG
London Oncology Clinic,95 Harley Street,,,London,,W1G 6AF
London PET Centre,154 Harley Street,,,London,,W1G 7LJ
Mayday MRI Centre,Mayday University Hospital,London Road,,Thornton Heath,,CR7 7YE
Medicare Francais,3 Harrington Gardens,,,London,,SW7 4JJ
Middlesex Hospital,Woolavington Wing,Cleveland street,,London,,W1N 8AA
Milton Keynes MRI Centre,The MRI Unit,Milton Keynes General Hospital,Eaglestone,Milton Keynes,,MK6 5LD
Moorfields Eye Hospital,162 City Road,,,London,,EC1V 2PD
Mount Stuart Hospital,St Vincent's Road,,,Torquay,,TQ1 4UP
National Hospital for Neurology and Neurosurgery,Nuffield Ward,Queen Square,,London,,WC1N 3BG
New Hall Hospital,Bodenham,,,Salisbury,,SP5 4EY
New Victoria Hospital,184-188 Coombe Lane West,,,Kingston Upon Thames,,KT2 7EG
Newcastle Nuffield Hospital,Clayton Road,Jesmond,,Newcastle upon Tyne,,NE2 1JP
Newcastle upon Tyne Hospitals NHS Foundation Trust,Queen Victoria Rd  ,,,Newcastle upon Tyne,,NE1 4LP
Nippon Medical Centre - South Parkside Hospital,53 Parkside,Wimbledon ,,London,,SW19 5NX
Noble's Hospital,Isle of Man Hospitals,Braddan,,Douglas,,IM1 3PQ
Norfolk and Norwich University Hospital,Colney Ln  ,,,Norwich,,NR4 7UY
North Downs Hospital,46 Tupwood Lane,,,Caterham,,CR3 6DP
North Hampshire MRI Centre,North Hampshire Hospital,Aldermaston Road,,Basingstoke,,RG24 9NA
North London Nuffield Hospital,Cavell Drive,Uplands Park Road,,Enfield,,EN2 7PR
North Manchester MRI Centre,North Manchester General Hospital,Delaunays Road,Crumpsall,Manchester,,M8 5RB
North Middlesex MRI Centre,North Middlesex Hospital,Sterling Way,,London,,N18 1QX
North Staffordshire Nuffield Hospital,Clayton Road,,,Newcastle-Under-Lyme,,ST5 4DB
North Tyneside MRI Centre,North Tyneside General Hospital,Rake Lane,,North Shields,,NE29 8NH
Northampton General Hospital NHS Trust,Cliftonville,,,Northampton,,NN1 5BD
Northern General Hospital,Herries Rd  ,,,Sheffield,,S5 7AU
Northwick Park MRI Centre,Northwick Park Hospital,Watford Road,,Harrow,,HA1 3UJ
Notting Hill Private Medical Practice,Notre Dame House,121 Ladbroke Grove,,London,,W11 1PN
Nottingham City Hospital,Hucknall Rd  ,,,Nottingham,,NG5 1PB
Nottingham Nuffield Hospital,748 Mansfield Road,Woodthorpe,,Nottingham,,NG5 3FZ
Nottingham University Hospitals NHS Trust,Derby Rd  ,,,Nottingham,,NG7 2UH
Nuffield Hospital Cambridge,4 Trumpington Road,,,Cambridge,,CB2 2AF
Nuffield Hospital Derby,Rykneld Road,Littleover,,Derby,,DE23 7SN
